"1. I sleep 7-8 hours on a regular schedule, at night. "," 2. I am physically active (exercise, sport, walking) for at least 5 hours/week. ","4. When I decide to study, I can start and keep going. ","12. I spread out my study time, to avoid cramming. ???? ??? ?????? ?????? ????? ???????","8. I like learning, not just the thought of a good job.","11. I work 50 minutes and then take a 10-minute break."" or i use other techniques to split my studying time.""",14. I persist when the work is boring or challenging. (???),18. I review notes shortly after class.,19. I make up and answer questions to test myself.,20. I am able and willing (????? ) to ask for help when I need it.,24. I can summarize texts effectively (not get lost in details)(?? ???? ?? ????????). ,30. For limiting my stress before the exam I try not to compare my revisions with my colleague’s ones. ,40. What is your academic grade last year (2018/2019)- if not applicable the last academic grade (or your last block grade) ?
3,4,3,2,5,3,3,5,5,5,4,5,(??? ??? ) B  84%–75%
3,2,3,2,4,3,3,2,1,4,2,3,(??????) A  85%–100%
1,3,4,1,5,5,4,2,4,2,5,5,(??????) A  85%–100%
3,2,4,3,5,4,4,1,3,5,3,2,(???) C  74%–65%
4,1,4,2,4,5,1,2,3,5,1,5,(??????) A  85%–100%
2,2,3,3,4,5,3,1,3,3,3,3,(???) C  74%–65%
3,3,4,5,5,5,4,4,1,1,3,5,(??????) A  85%–100%
4,4,4,4,4,3,4,4,2,4,3,3,(??????) A  85%–100%
3,2,3,2,3,4,3,2,4,4,2,4,(???) C  74%–65%
5,2,1,1,2,1,1,1,1,1,1,3,( ????? ) D  60%-64%
3,4,4,2,4,2,5,5,4,5,4,4,(??????) A  85%–100%
2,2,4,2,5,5,5,4,3,5,5,5,(??? ??? ) B  84%–75%
4,1,4,4,5,3,4,1,3,2,4,4,(??????) A  85%–100%
1,1,4,1,4,2,3,2,3,2,2,1,(??????) A  85%–100%
4,3,3,3,4,3,3,3,3,3,2,2,(??? ??? ) B  84%–75%
5,3,2,1,5,1,1,1,5,3,2,5,(???) C  74%–65%
5,2,4,4,1,3,2,3,2,4,3,3,(??????) A  85%–100%
1,4,3,3,5,5,5,1,4,1,4,1,(??????) A  85%–100%
3,5,5,5,5,3,5,1,3,5,4,5,(??????) A  85%–100%
3,1,3,3,3,2,4,3,3,3,3,5,(??????) A  85%–100%
4,1,5,5,1,5,3,4,5,5,2,1,(??????) A  85%–100%
3,3,2,1,2,1,2,2,1,2,2,2,(???) C  74%–65%
4,2,2,2,4,3,3,4,4,3,5,5,(???) C  74%–65%
5,1,2,1,2,3,1,1,1,1,3,4,(???) C  74%–65%
2,1,1,1,2,1,1,1,1,1,3,2,( ????) F < %60
2,4,3,2,3,2,2,2,3,2,2,4,( ????? ) D  60%-64%
3,2,3,3,4,2,3,3,3,4,3,5,(??? ??? ) B  84%–75%
3,5,3,4,5,5,3,4,5,1,5,1,(??? ??? ) B  84%–75%
1,1,2,1,3,3,2,2,2,4,3,5,(??? ??? ) B  84%–75%
3,1,4,3,4,3,4,4,3,3,5,5,(??? ??? ) B  84%–75%
4,2,2,1,4,4,2,2,5,5,5,1,(??? ??? ) B  84%–75%
4,1,1,1,3,3,3,2,4,3,3,4,(??? ??? ) B  84%–75%
4,1,4,3,2,4,4,1,2,1,4,4,(??????) A  85%–100%
4,1,3,4,3,4,3,1,1,4,2,2,(??????) A  85%–100%
2,2,2,2,3,2,2,2,1,2,2,2,( ????? ) D  60%-64%
4,5,4,4,5,5,4,3,5,4,3,2,(??????) A  85%–100%
5,3,5,4,5,3,4,2,3,4,4,5,(??????) A  85%–100%
4,1,2,2,5,3,3,3,2,2,2,2,(??????) A  85%–100%
4,4,4,3,2,4,4,1,4,4,4,3,(??????) A  85%–100%
3,2,3,3,4,3,3,1,1,2,2,4,(??? ??? ) B  84%–75%
2,2,5,2,3,2,5,2,2,2,3,5,(??????) A  85%–100%
1,4,2,2,3,4,4,2,2,4,4,5,(??????) A  85%–100%
3,2,3,4,4,1,4,2,4,3,3,5,(??????) A  85%–100%
5,2,5,4,4,4,4,4,3,4,4,5,(??????) A  85%–100%
3,2,5,5,4,4,4,5,5,5,5,3,(??? ??? ) B  84%–75%
3,5,3,3,5,5,5,1,5,5,1,4,(??? ??? ) B  84%–75%
3,1,4,4,5,3,4,2,1,4,2,5,(??????) A  85%–100%
4,1,3,2,4,4,3,2,3,2,4,5,(??????) A  85%–100%
4,5,5,5,5,5,5,5,5,5,5,5,(??????) A  85%–100%
2,2,5,1,5,1,5,1,1,4,2,2,(??????) A  85%–100%
3,2,4,2,5,5,5,4,4,3,4,2,(??????) A  85%–100%
3,2,2,5,4,5,5,2,5,5,4,3,(??????) A  85%–100%
4,1,3,3,3,5,3,1,5,3,1,4,(??? ??? ) B  84%–75%
4,1,2,2,4,4,5,2,2,5,4,1,(??????) A  85%–100%
4,5,5,5,4,5,5,2,4,5,5,5,(??????) A  85%–100%
3,4,5,4,5,5,4,3,4,5,4,4,(??????) A  85%–100%
4,3,4,5,4,5,4,1,1,5,4,4,(??????) A  85%–100%
5,3,4,3,3,4,4,4,3,4,3,5,(??? ??? ) B  84%–75%
2,1,2,2,2,3,2,1,2,3,1,5,(??? ??? ) B  84%–75%
2,2,4,3,1,2,4,3,3,3,5,5,(??? ??? ) B  84%–75%
3,1,4,1,2,1,2,2,3,1,4,3,(??? ??? ) B  84%–75%
4,1,4,3,2,4,4,2,3,4,3,4,(??????) A  85%–100%
3,2,2,2,4,4,3,2,2,3,1,4,(???) C  74%–65%
4,3,3,1,3,2,4,1,3,1,2,3,(??????) A  85%–100%
5,3,5,4,3,3,4,3,3,4,3,5,(??????) A  85%–100%
2,1,5,5,5,5,3,5,4,5,1,5,(??????) A  85%–100%
3,2,3,3,3,4,3,2,3,2,2,4,(??? ??? ) B  84%–75%
5,1,3,2,5,5,3,2,2,2,3,5,(???) C  74%–65%
2,1,4,4,5,5,5,2,4,5,4,4,(??????) A  85%–100%
4,5,5,5,5,4,5,2,2,5,4,1,(??????) A  85%–100%
4,3,4,4,4,3,5,4,5,4,5,5,(??? ??? ) B  84%–75%
3,1,2,1,3,1,4,4,3,4,2,5,(???) C  74%–65%
2,1,2,4,4,2,2,2,2,2,3,4,(??? ??? ) B  84%–75%
4,1,1,4,1,4,1,1,4,3,1,4,(??? ??? ) B  84%–75%
3,1,3,1,3,1,3,2,2,2,2,4,(??? ??? ) B  84%–75%
3,5,3,3,2,3,5,4,3,5,5,5,(??????) A  85%–100%
3,4,5,4,3,4,4,3,4,3,4,2,(??????) A  85%–100%
2,1,4,2,3,3,4,2,2,3,2,4,(??????) A  85%–100%
2,1,4,4,4,4,3,2,4,4,1,5,(??????) A  85%–100%
4,3,1,3,5,5,4,2,3,4,3,4,(??????) A  85%–100%
2,1,1,3,3,2,3,3,2,5,1,5,(??????) A  85%–100%
3,1,5,1,5,3,2,4,4,3,2,4,(??????) A  85%–100%
4,1,4,1,1,1,3,1,3,3,1,5,(???) C  74%–65%
3,3,4,1,4,1,5,3,3,4,1,5,(??????) A  85%–100%
3,2,5,5,5,4,4,3,3,4,4,5,(??? ??? ) B  84%–75%
2,1,4,3,4,3,4,1,1,4,3,4,(??????) A  85%–100%
1,3,5,4,2,5,5,1,2,3,2,5,(??????) A  85%–100%
3,2,2,2,5,2,2,4,5,3,5,5,(???) C  74%–65%
1,1,3,2,5,1,2,1,2,1,2,5,( ????) F < %60
2,1,3,3,5,2,3,2,2,3,2,5,(??? ??? ) B  84%–75%
4,3,4,5,5,5,4,2,3,4,4,5,(??????) A  85%–100%
4,3,3,3,5,2,4,2,5,5,4,2,(??????) A  85%–100%
3,1,3,1,5,3,4,1,4,4,3,4,( ????? ) D  60%-64%
3,4,3,4,3,2,3,4,3,3,3,4,(??????) A  85%–100%
3,1,3,2,4,5,3,2,4,5,2,3,(??????) A  85%–100%
3,5,4,3,5,3,4,1,2,3,1,1,(??? ??? ) B  84%–75%
1,3,4,1,5,5,3,3,5,5,5,5,(??????) A  85%–100%
3,2,1,1,1,1,2,1,3,5,1,1,(??????) A  85%–100%
3,3,3,2,4,3,4,1,3,5,5,2,(??? ??? ) B  84%–75%
1,1,5,5,5,5,5,4,5,5,5,5,(??? ??? ) B  84%–75%
1,2,2,1,1,3,4,4,1,3,1,4,(??? ??? ) B  84%–75%
3,1,4,3,2,3,4,2,2,3,3,4,(??????) A  85%–100%
3,3,4,4,3,3,4,3,4,4,4,4,(??????) A  85%–100%
2,1,3,3,3,3,2,2,2,2,3,4,(???) C  74%–65%
